MATCHID,ROUND,TEAM_ID,TEAM,LOCATION,POSS,PACE,O_RTG,D_RTG,NET_RTG,TS%,eFG%,TOV%,ORB%,DRB%,TRB%,AST_TOV_RATIO,FTr,MIN,MIN_SECS,PTS,FGM_2,FGA_2,FGM_3,FGA_3,FGM,FGA,FTM,FTA,ORB,DRB,TRB,AST,TOV,STL,BLK,BLKA,PF,PFD,PIR,PLUS_MINUS
2487123,14,979970,MEGACALZADO ARDOI,HOME,83.2,83.3,104.5,98.4,6.1,52.9,50.0,14.5,31.7,70.8,52.8,1.4,28.8,200,12000.0,87.0,26.0,49.0,7.0,24.0,33.0,73.0,14.0,21.0,13.0,34.0,47.0,20.0,14.0,6.0,0.0,2.0,23.0,21.0,97.0,25.0
2487124,14,983015,CONSTRUCCIONES GONZALO CRESPO PAS PIÉLAGOS,AWAY,79.7,80.0,95.3,84.7,10.6,50.9,42.2,13.8,20.0,67.6,44.4,1.0,65.5,200,12000.0,76.0,17.0,38.0,5.0,20.0,22.0,58.0,27.0,38.0,7.0,25.0,32.0,12.0,12.0,11.0,0.0,3.0,23.0,28.0,77.0,40.0
2487124,14,979777,UNIVERSIDAD DEUSTO LOIOLA INDAUTXU,HOME,80.2,80.0,84.7,95.3,-10.6,45.8,40.0,19.5,32.4,80.0,55.6,0.9,32.3,200,12000.0,68.0,14.0,34.0,8.0,31.0,22.0,65.0,16.0,21.0,12.0,28.0,40.0,16.0,18.0,7.0,3.0,0.0,28.0,23.0,63.0,-40.0
2487125,14,982050,GRUPO INMAPA FILIPENSES,HOME,82.2,80.1,80.3,111.6,-31.3,50.6,44.6,25.2,13.9,58.8,35.7,0.5,37.5,200,12000.0,66.0,13.0,29.0,8.0,27.0,21.0,56.0,16.0,21.0,5.0,20.0,25.0,12.0,22.0,6.0,2.0,3.0,24.0,19.0,44.0,-105.0
2487125,14,981230,ULACIA ZKE,AWAY,78.0,80.1,111.6,80.3,31.3,55.8,49.2,15.2,41.2,86.1,64.3,1.3,54.0,200,12000.0,87.0,22.0,42.0,6.0,21.0,28.0,63.0,25.0,34.0,14.0,31.0,45.0,18.0,14.0,11.0,3.0,2.0,19.0,23.0,110.0,105.0
2487126,14,979288,BASKONIA,AWAY,85.0,87.4,118.8,96.9,21.9,61.6,62.0,16.3,39.4,82.1,62.5,1.4,35.2,200,12000.0,101.0,32.0,53.0,8.0,18.0,40.0,71.0,13.0,25.0,13.0,32.0,45.0,23.0,16.0,6.0,4.0,2.0,20.0,20.0,120.0,70.0
2487126,14,981440,RECOLETAS SALUD CARBAJOSA,HOME,89.8,87.4,96.9,118.8,-21.9,51.9,47.3,13.4,17.9,60.6,37.5,0.8,26.7,200,12000.0,87.0,22.0,48.0,9.0,27.0,31.0,75.0,16.0,20.0,7.0,20.0,27.0,10.0,13.0,7.0,2.0,4.0,20.0,20.0,72.0,-70.0
2487127,14,979908,RESTAURANTE LOS ARCOS CB SOLARES,HOME,89.6,89.9,79.2,84.2,-5.0,40.0,34.0,16.9,34.0,73.9,53.1,0.7,41.3,200,12000.0,71.0,18.0,52.0,5.0,23.0,23.0,75.0,20.0,31.0,17.0,34.0,51.0,12.0,18.0,13.0,3.0,3.0,31.0,26.0,64.0,-25.0
2487127,14,981224,TEKNEI BIZKAIA ZORNOTZA,AWAY,90.2,89.9,84.2,79.2,5.0,46.2,39.5,19.6,26.1,66.0,46.9,0.6,74.2,200,12000.0,76.0,20.0,36.0,3.0,26.0,23.0,62.0,27.0,46.0,12.0,33.0,45.0,12.0,20.0,15.0,3.0,3.0,26.0,30.0,77.0,25.0
2487128,14,981423,BLENDIO,AWAY,87.4,88.0,100.7,101.5,-0.8,49.2,46.3,14.4,34.0,76.2,53.3,1.2,23.5,200,12000.0,88.0,15.0,46.0,15.0,35.0,30.0,81.0,13.0,19.0,17.0,32.0,49.0,18.0,15.0,9.0,2.0,2.0,20.0,16.0,90.0,-10.0
